customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure,,,,,,,,,,,,
1,Laraine,Medendorp,F,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,"""'",Yes,11,,,,,,,,,,,,
2,Eli,Bockman,Male,81,1980-12-16,Administrative Officer,Financial Services,Mass Customer,N,<script>alert('hi')</script>,Yes,16,,,,,,,,,,,,
3,Arlin,Dearle,Male,61,1954-01-20,Recruiting Manager,Property,Mass Customer,N,1-Feb,Yes,15,,,,,,,,,,,,
4,Talbot,,Male,33,1961-10-03,,IT,Mass Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,7,,,,,,,,,,,,
5,Sheila-kathryn,Calton,Female,56,1977-05-13,Senior Editor,n/a,Affluent Customer,N,NIL,Yes,8,,,,,,,,,,,,
6,Curr,Duckhouse,Male,35,1966-09-16,,Retail,High Net Worth,N,ðµ ð ð ð,Yes,13,,,,,,,,,,,,
7,Fina,Merali,Female,6,1976-02-23,,Financial Services,Affluent Customer,N,â°â´âµâââ,Yes,11,,,,,,,,,,,,
8,Rod,Inder,Male,31,1962-03-30,Media Manager I,n/a,Mass Customer,N,(â¯Â°â¡Â°ï¼â¯ï¸µ â»ââ»),No,7,,,,,,,,,,,,
9,Mala,Lind,Female,97,1973-03-10,Business Systems Development Analyst,Argiculture,Affluent Customer,N,0/0,Yes,8,,,,,,,,,,,,
10,Fiorenze,Birdall,Female,49,1988-10-11,Senior Quality Engineer,Financial Services,Mass Customer,N,ð©ð½,Yes,20,,,,,,,,,,,,
11,Uriah,Bisatt,Male,99,1954-04-30,,Property,Mass Customer,N,ÅâÂ´Â®â Â¥Â¨ËÃ¸Ïââ,No,9,,,,,,,,,,,,
12,Sawyere,Flattman,Male,58,1994-07-21,Nuclear Power Engineer,Manufacturing,Mass Customer,N,nil,No,8,,,,,,,,,,,,
13,Gabriele,Norcross,Male,38,1955-02-15,Developer I,Financial Services,High Net Worth,N,-1.00E+02,Yes,8,,,,,,,,,,,,
14,Rayshell,Kitteman,Female,85,1983-03-25,Account Executive,Financial Services,Affluent Customer,N,â°â´âµ,No,6,,,,,,,,,,,,
15,Erroll,Radage,Male,91,2000-07-13,Junior Executive,Manufacturing,Mass Customer,N,ð,No,1,,,,,,,,,,,,
16,Harlin,Parr,Male,38,1977-02-27,Media Manager IV,n/a,Mass Customer,N,1.00E+96,Yes,18,,,,,,,,,,,,
17,Heath,Faraday,Male,57,1962-03-19,Sales Associate,n/a,Affluent Customer,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,Yes,15,,,,,,,,,,,,
18,Marjie,Neasham,Female,79,1967-07-06,Professor,n/a,Affluent Customer,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,11,,,,,,,,,,,,
19,Sorcha,Keyson,Female,76,2001-04-15,Geological Engineer,Manufacturing,High Net Worth,N,ÅâÂ´â°ËÃÂ¨ËÃâââ,No,1,,,,,,,,,,,,
20,Basile,Firth,Male,72,1980-08-13,Project Manager,Manufacturing,Mass Customer,N,ð©ð½,No,11,,,,,,,,,,,,
21,Mile,Cammocke,Male,74,1980-09-20,Safety Technician I,Manufacturing,Affluent Customer,N,-1.00E+02,Yes,16,,,,,,,,,,,,
22,Deeanne,Durtnell,Female,79,1962-12-10,,IT,Mass Customer,N,ï¼ï¼ï¼,No,11,,,,,,,,,,,,
23,Olav,Polak,Male,43,1995-02-10,,n/a,High Net Worth,N,1-Feb,Yes,1,,,,,,,,,,,,
24,Kim,Skpsey,Female,55,1977-12-03,Research Assistant I,Argiculture,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,15,,,,,,,,,,,,
